agent, com_failure, correction, run_time, idletime, good_drops, wrong_drops, rooms_entered
block com, 0.5, False, 83.781, 2.936, 1, 1, 10
block com, 0.5, False, 83.781, 3.526, 5, 0, 12
block com, 0.5, False, 83.781, 3.234, 0, 2, 11
block com, 0.5, False, 87.385, 3.372, 1, 2, 11
block com, 0.5, False, 87.385, 3.633, 3, 0, 10
block com, 0.5, False, 87.385, 3.384, 2, 1, 12
block com, 0.5, False, 85.525, 3.066, 1, 1, 12
block com, 0.5, False, 85.525, 3.235, 1, 1, 14
block com, 0.5, False, 85.525, 2.964, 4, 0, 12
block com, 0.5, False, 92.496, 3.446, 1, 1, 16
block com, 0.5, False, 92.496, 3.364, 4, 0, 12
block com, 0.5, False, 92.496, 3.404, 1, 2, 11
block com, 0.5, False, 85.299, 3.146, 2, 0, 12
block com, 0.5, False, 85.299, 3.49, 3, 0, 10
block com, 0.5, False, 85.299, 2.921, 1, 1, 11
block com, 0.5, False, 66.141, 2.502, 1, 0, 8
block com, 0.5, False, 66.141, 2.442, 4, 0, 9
block com, 0.5, False, 66.141, 2.426, 1, 0, 7
block com, 0.5, False, 81.175, 3.12, 5, 0, 10
block com, 0.5, False, 81.175, 3.256, 1, 1, 12
block com, 0.5, False, 81.175, 3.511, 0, 0, 11
block com, 0.5, False, 93.266, 3.464, 0, 2, 12
block com, 0.5, False, 93.266, 3.906, 1, 1, 15
block com, 0.5, False, 93.266, 3.735, 5, 0, 13
block com, 0.5, False, 72.003, 2.688, 1, 1, 10
block com, 0.5, False, 72.003, 2.876, 1, 0, 9
block com, 0.5, False, 72.003, 2.554, 4, 0, 9
block com, 0.5, False, 79.655, 2.702, 3, 0, 10
block com, 0.5, False, 79.655, 2.774, 0, 1, 11
block com, 0.5, False, 79.655, 2.941, 3, 1, 11
block com, 0.5, False, 88.342, 3.155, 0, 0, 12
block com, 0.5, False, 88.342, 3.324, 5, 0, 11
block com, 0.5, False, 88.342, 3.538, 1, 1, 12
block com, 0.5, False, 70.068, 2.72, 2, 0, 10
block com, 0.5, False, 70.068, 2.656, 1, 0, 10
block com, 0.5, False, 70.068, 3.001, 3, 0, 10
block com, 0.5, False, 74.716, 2.697, 2, 1, 9
block com, 0.5, False, 74.716, 2.797, 3, 0, 10
block com, 0.5, False, 74.716, 2.608, 1, 1, 9
block com, 0.5, False, 71.374, 2.796, 1, 2, 10
block com, 0.5, False, 71.374, 2.893, 2, 0, 10
block com, 0.5, False, 71.374, 2.921, 3, 0, 8
block com, 0.5, False, 107.962, 3.909, 2, 0, 14
block com, 0.5, False, 107.962, 3.844, 0, 1, 15
block com, 0.5, False, 107.962, 3.995, 4, 0, 14
block com, 0.5, False, 99.519, 4.136, 2, 1, 16
block com, 0.5, False, 99.519, 3.841, 0, 3, 14
block com, 0.5, False, 99.519, 3.806, 4, 0, 14
block com, 0.5, False, 91.61, 3.495, 3, 2, 11
block com, 0.5, False, 91.61, 3.452, 3, 1, 13
block com, 0.5, False, 91.61, 3.376, 0, 2, 12
block com, 0.5, False, 84.263, 3.04, 1, 0, 11
block com, 0.5, False, 84.263, 3.157, 0, 1, 12
block com, 0.5, False, 84.263, 3.322, 5, 0, 12
block com, 0.5, False, 90.945, 3.55, 5, 0, 13
block com, 0.5, False, 90.945, 3.445, 0, 0, 12
block com, 0.5, False, 90.945, 3.426, 1, 1, 12
block com, 0.5, False, 90.97, 3.401, 2, 2, 11
block com, 0.5, False, 90.97, 3.36, 3, 0, 9
block com, 0.5, False, 90.97, 3.133, 1, 2, 10
block com, 0.5, False, 54.933, 2.506, 4, 0, 9
block com, 0.5, False, 54.933, 2.261, 2, 1, 7
block com, 0.5, False, 54.933, 2.077, 0, 2, 7
block com, 0.5, False, 84.869, 3.288, 2, 1, 11
block com, 0.5, False, 84.869, 3.004, 2, 1, 12
block com, 0.5, False, 84.869, 3.084, 2, 0, 9
block com, 0.5, True, 84.944, 3.347, 4, 0, 12
block com, 0.5, True, 84.944, 3.489, 2, 0, 12
block com, 0.5, True, 84.944, 3.339, 0, 0, 10
block com, 0.5, True, 81.551, 3.336, 2, 0, 9
block com, 0.5, True, 81.551, 3.659, 0, 0, 14
block com, 0.5, True, 81.551, 3.537, 4, 0, 13
block com, 0.5, True, 109.752, 3.961, 0, 0, 20
block com, 0.5, True, 109.752, 3.857, 6, 0, 12
block com, 0.5, True, 109.752, 4.062, 0, 0, 20
block com, 0.5, True, 69.727, 2.499, 3, 0, 9
block com, 0.5, True, 69.727, 2.307, 1, 0, 7
block com, 0.5, True, 69.727, 2.963, 2, 0, 9
block com, 0.5, True, 102.296, 3.831, 4, 0, 12
block com, 0.5, True, 102.296, 3.519, 2, 0, 13
block com, 0.5, True, 102.296, 3.604, 0, 0, 15
block com, 0.5, True, 86.278, 3.288, 3, 0, 12
block com, 0.5, True, 86.278, 2.977, 2, 0, 11
block com, 0.5, True, 86.278, 2.941, 1, 0, 9
block com, 0.5, True, 107.193, 3.894, 3, 0, 15
block com, 0.5, True, 107.193, 5.982, 1, 0, 10
block com, 0.5, True, 107.193, 5.388, 2, 0, 9
block com, 0.5, True, 84.652, 3.641, 2, 0, 12
block com, 0.5, True, 84.652, 2.897, 4, 0, 11
block com, 0.5, True, 84.652, 3.124, 0, 0, 11
block com, 0.5, True, 82.388, 3.184, 4, 0, 13
block com, 0.5, True, 82.388, 2.881, 0, 0, 10
block com, 0.5, True, 82.388, 3.188, 2, 0, 13
block com, 0.5, True, 96.355, 3.748, 3, 0, 11
block com, 0.5, True, 96.355, 3.285, 3, 0, 11
block com, 0.5, True, 96.355, 3.369, 0, 0, 14
block com, 0.5, True, 92.079, 3.451, 3, 0, 11
block com, 0.5, True, 92.079, 3.666, 0, 0, 11
block com, 0.5, True, 92.079, 3.709, 3, 0, 13
block com, 0.5, True, 88.408, 3.299, 1, 0, 11
block com, 0.5, True, 88.408, 3.243, 3, 0, 13
block com, 0.5, True, 88.408, 3.429, 2, 0, 13
block com, 0.5, True, 70.5, 2.804, 4, 0, 9
block com, 0.5, True, 70.5, 2.854, 0, 0, 10
block com, 0.5, True, 70.5, 2.845, 2, 0, 11
block com, 0.5, True, 85.397, 3.131, 1, 0, 13
block com, 0.5, True, 85.397, 3.145, 2, 0, 11
block com, 0.5, True, 85.397, 3.296, 3, 0, 11
block com, 0.5, True, 90.586, 3.451, 0, 0, 15
block com, 0.5, True, 90.586, 3.549, 2, 0, 14
block com, 0.5, True, 90.586, 3.452, 4, 0, 11
block com, 0.5, True, 77.836, 2.992, 4, 0, 11
block com, 0.5, True, 77.836, 3.087, 0, 0, 12
block com, 0.5, True, 77.836, 3.01, 2, 0, 9
block com, 0.5, True, 75.305, 3.035, 2, 0, 10
block com, 0.5, True, 75.305, 2.965, 3, 0, 11
block com, 0.5, True, 75.305, 2.572, 1, 0, 9
block com, 0.5, True, 112.12, 4.256, 2, 0, 15
block com, 0.5, True, 112.12, 4.081, 3, 0, 16
block com, 0.5, True, 112.12, 3.783, 1, 0, 14
block com, 0.5, True, 97.865, 3.86, 0, 0, 14
block com, 0.5, True, 97.865, 4.116, 4, 0, 14
block com, 0.5, True, 97.865, 4.109, 2, 0, 14
block com, 0.5, True, 122.451, 4.285, 0, 0, 16
block com, 0.5, True, 122.451, 4.488, 1, 0, 19
block com, 0.5, True, 122.451, 4.64, 5, 0, 16
block com, 0.5, True, 92.827, 3.296, 2, 0, 12
block com, 0.5, True, 92.827, 3.576, 0, 0, 13
block com, 0.5, True, 92.827, 3.617, 4, 0, 11
block com, 0.5, True, 80.889, 2.77, 0, 0, 9
block com, 0.5, True, 80.889, 2.989, 5, 0, 10
block com, 0.5, True, 80.889, 3.096, 1, 0, 11
block com, 0.5, True, 97.009, 3.594, 1, 0, 13
block com, 0.5, True, 97.009, 3.704, 4, 0, 14
block com, 0.5, True, 97.009, 3.998, 1, 0, 15
block com, 0.5, True, 98.541, 3.898, 0, 0, 14
block com, 0.5, True, 98.541, 3.536, 0, 0, 13
block com, 0.5, True, 98.541, 3.778, 6, 0, 13
block com, 0.5, True, 85.491, 3.113, 0, 0, 11
block com, 0.5, True, 85.491, 2.943, 2, 0, 11
block com, 0.5, True, 85.491, 3.226, 4, 0, 11
block com, 0.5, True, 60.112, 1.882, 3, 0, 6
block com, 0.5, True, 60.112, 2.229, 0, 0, 7
block com, 0.5, True, 60.112, 2.421, 3, 0, 8
block com, 0.5, True, 69.514, 2.814, 3, 0, 9
block com, 0.5, True, 69.514, 2.426, 0, 0, 11
block com, 0.5, True, 69.514, 2.869, 3, 0, 10
block com, 0.5, True, 90.244, 3.436, 2, 0, 13
block com, 0.5, True, 90.244, 3.844, 1, 0, 14
block com, 0.5, True, 90.244, 3.083, 3, 0, 10
block com, 0.5, True, 88.269, 3.276, 2, 0, 10
block com, 0.5, True, 88.269, 3.283, 1, 0, 14
block com, 0.5, True, 88.269, 3.306, 3, 0, 12
block com, 0.5, True, 71.755, 2.935, 1, 0, 10
block com, 0.5, True, 71.755, 2.689, 1, 0, 9
block com, 0.5, True, 71.755, 2.763, 4, 0, 11
block com, 0.5, True, 88.297, 2.989, 4, 0, 11
block com, 0.5, True, 88.297, 3.11, 0, 0, 11
block com, 0.5, True, 88.297, 3.284, 2, 0, 10
block com, 0.5, True, 74.352, 3.139, 1, 0, 11
block com, 0.5, True, 74.352, 2.865, 2, 0, 10
block com, 0.5, True, 74.352, 2.848, 3, 0, 9
block com, 0.5, True, 73.673, 2.645, 2, 0, 10
block com, 0.5, True, 73.673, 3.196, 2, 0, 12
block com, 0.5, True, 73.673, 3.039, 2, 0, 9
block com, 0.5, True, 109.471, 3.669, 0, 0, 15
block com, 0.5, True, 109.471, 4.036, 5, 0, 14
block com, 0.5, True, 109.471, 4.196, 1, 0, 14
block com, 0.5, True, 102.664, 3.754, 2, 0, 13
block com, 0.5, True, 102.664, 4.018, 2, 0, 13
block com, 0.5, True, 102.664, 3.694, 2, 0, 12
block com, 0.5, True, 78.984, 2.784, 1, 0, 11
block com, 0.5, True, 78.984, 2.88, 4, 0, 11
block com, 0.5, True, 78.984, 2.938, 1, 0, 12
block com, 0.5, True, 94.08, 3.736, 1, 0, 12
block com, 0.5, True, 94.08, 3.864, 5, 0, 13
block com, 0.5, True, 94.08, 3.483, 0, 0, 12
block com, 0.5, True, 86.592, 3.273, 1, 0, 12
block com, 0.5, True, 86.592, 3.243, 0, 0, 13
block com, 0.5, True, 86.592, 3.262, 5, 0, 10
block com, 0.5, True, 94.762, 3.382, 0, 0, 12
block com, 0.5, True, 94.762, 3.886, 4, 0, 13
block com, 0.5, True, 94.762, 3.57, 2, 0, 12
block com, 0.5, True, 94.502, 3.744, 2, 0, 13
block com, 0.5, True, 94.502, 3.666, 0, 0, 11
block com, 0.5, True, 94.502, 3.711, 4, 0, 11
block com, 0.5, True, 70.495, 2.619, 2, 0, 11
block com, 0.5, True, 70.495, 3.106, 4, 0, 11
block com, 0.5, True, 70.495, 2.766, 0, 0, 9
block com, 0.5, True, 101.033, 3.649, 2, 0, 12
block com, 0.5, True, 101.033, 3.822, 1, 0, 11
block com, 0.5, True, 101.033, 3.632, 3, 0, 13
block com, 0.5, True, 92.07, 6.77, 3, 0, 11
block com, 0.5, True, 92.07, 3.957, 3, 0, 12
block com, 0.5, True, 92.07, 3.874, 0, 0, 11
block com, 0.5, True, 84.355, 3.435, 0, 0, 12
block com, 0.5, True, 84.355, 3.37, 1, 0, 10
block com, 0.5, True, 84.355, 3.742, 5, 0, 11
block com, 0.5, True, 95.557, 3.876, 0, 0, 13
block com, 0.5, True, 95.557, 4.19, 5, 0, 13
block com, 0.5, True, 95.557, 3.644, 1, 0, 12
block com, 0.5, True, 87.112, 3.292, 4, 0, 10
block com, 0.5, True, 87.112, 3.631, 1, 0, 11
block com, 0.5, True, 87.112, 3.657, 1, 0, 10
block com, 0.5, True, 130.226, 5.121, 4, 0, 12
block com, 0.5, True, 130.226, 5.027, 2, 0, 15
block com, 0.5, True, 130.226, 5.939, 0, 0, 13
block com, 0.5, True, 100.54, 3.877, 2, 0, 12
block com, 0.5, True, 100.54, 4.332, 1, 0, 12
block com, 0.5, True, 100.54, 4.203, 3, 0, 11
block com, 0.5, True, 86.251, 3.803, 4, 0, 11
block com, 0.5, True, 86.251, 3.031, 2, 0, 9
block com, 0.5, True, 86.251, 3.462, 0, 0, 10
block com, 0.5, True, 110.002, 4.142, 5, 0, 12
block com, 0.5, True, 110.002, 6.486, 0, 0, 7
block com, 0.5, True, 110.002, 7.472, 1, 0, 8
block com, 0, True, 88.003, 3.793, 3, 0, 11
block com, 0, True, 88.003, 3.436, 1, 0, 10
block com, 0, True, 88.003, 3.739, 2, 0, 12
block com, 0, True, 98.048, 3.598, 0, 0, 13
block com, 0, True, 98.048, 3.708, 2, 0, 13
block com, 0, True, 98.048, 3.768, 4, 0, 14
block com, 0, True, 65.322, 2.422, 2, 0, 9
block com, 0, True, 65.322, 2.856, 3, 0, 9
block com, 0, True, 65.322, 2.209, 1, 0, 9
block com, 0, True, 77.481, 2.995, 3, 0, 11
block com, 0, True, 77.481, 3.067, 0, 0, 11
block com, 0, True, 77.481, 2.831, 3, 0, 10
block com, 0, True, 86.002, 3.099, 3, 0, 10
block com, 0, True, 86.002, 3.203, 0, 0, 11
block com, 0, True, 86.002, 3.109, 3, 0, 12
block com, 0, True, 94.752, 3.716, 1, 0, 13
block com, 0, True, 94.752, 3.34, 2, 0, 12
block com, 0, True, 94.752, 3.72, 3, 0, 14
block com, 0, True, 75.767, 3.121, 3, 0, 10
block com, 0, True, 75.767, 2.891, 1, 0, 11
block com, 0, True, 75.767, 2.919, 2, 0, 11
block com, 0, True, 62.192, 2.902, 5, 0, 10
block com, 0, True, 62.192, 2.34, 1, 0, 9
block com, 0, True, 62.192, 2.314, 0, 0, 9
block com, 0, True, 75.633, 3.009, 3, 0, 10
block com, 0, True, 75.633, 3.076, 1, 0, 9
block com, 0, True, 75.633, 2.896, 2, 0, 10
block com, 0, True, 88.064, 3.757, 0, 0, 13
block com, 0, True, 88.064, 3.181, 4, 0, 11
block com, 0, True, 88.064, 3.637, 2, 0, 12
block com, 0, True, 86.378, 3.505, 2, 0, 11
block com, 0, True, 86.378, 3.366, 2, 0, 14
block com, 0, True, 86.378, 3.599, 2, 0, 11
block com, 0, True, 87.45, 3.246, 1, 0, 12
block com, 0, True, 87.45, 3.742, 4, 0, 12
block com, 0, True, 87.45, 3.404, 1, 0, 12
block com, 0, True, 74.504, 3.037, 2, 0, 10
block com, 0, True, 74.504, 2.557, 1, 0, 11
block com, 0, True, 74.504, 2.657, 3, 0, 9
block com, 0, True, 85.418, 3.261, 2, 0, 12
block com, 0, True, 85.418, 3.317, 1, 0, 11
block com, 0, True, 85.418, 3.242, 3, 0, 11
block com, 0, True, 79.408, 3.624, 1, 0, 11
block com, 0, True, 79.408, 3.425, 0, 0, 12
block com, 0, True, 79.408, 3.26, 5, 0, 12
block com, 0, True, 67.762, 2.995, 5, 0, 10
block com, 0, True, 67.762, 2.314, 1, 0, 9
block com, 0, True, 67.762, 2.153, 0, 0, 9
block com, 0, True, 80.683, 3.157, 5, 0, 11
block com, 0, True, 80.683, 3.022, 1, 0, 10
block com, 0, True, 80.683, 2.928, 0, 0, 11
block com, 0, True, 79.786, 2.858, 2, 0, 11
block com, 0, True, 79.786, 2.951, 4, 0, 9
block com, 0, True, 79.786, 2.92, 0, 0, 9
block com, 0, True, 63.297, 2.457, 1, 0, 9
block com, 0, True, 63.297, 2.41, 2, 0, 8
block com, 0, True, 63.297, 2.477, 3, 0, 10
block com, 0, True, 100.122, 3.997, 4, 0, 13
block com, 0, True, 100.122, 3.336, 2, 0, 12
block com, 0, True, 100.122, 3.612, 0, 0, 12
block com, 0, True, 79.913, 4.208, 1, 0, 7
block com, 0, True, 79.913, 2.843, 3, 0, 10
block com, 0, True, 79.913, 3.281, 2, 0, 12
block com, 0, True, 63.814, 2.697, 2, 0, 9
block com, 0, True, 63.814, 2.358, 1, 0, 8
block com, 0, True, 63.814, 2.58, 3, 0, 9
block com, 0, True, 63.102, 2.422, 2, 0, 8
block com, 0, True, 63.102, 2.717, 1, 0, 10
block com, 0, True, 63.102, 2.347, 3, 0, 9
block com, 0, True, 87.151, 3.15, 1, 0, 12
block com, 0, True, 87.151, 3.525, 3, 0, 11
block com, 0, True, 87.151, 3.594, 2, 0, 14
block com, 0, True, 94.503, 3.698, 2, 0, 13
block com, 0, True, 94.503, 3.778, 0, 0, 11
block com, 0, True, 94.503, 3.543, 4, 0, 11
block com, 0, True, 81.744, 3.167, 1, 0, 11
block com, 0, True, 81.744, 3.098, 4, 0, 11
block com, 0, True, 81.744, 2.931, 1, 0, 8
block com, 0, True, 62.809, 2.528, 2, 0, 8
block com, 0, True, 62.809, 2.19, 1, 0, 10
block com, 0, True, 62.809, 2.298, 3, 0, 8
block com, 0, True, 83.218, 3.371, 5, 0, 13
block com, 0, True, 83.218, 3.886, 0, 0, 8
block com, 0, True, 83.218, 3.388, 1, 0, 10
block com, 0, True, 98.344, 3.547, 1, 0, 13
block com, 0, True, 98.344, 4.186, 3, 0, 14
block com, 0, True, 98.344, 4.202, 2, 0, 14
block com, 0, True, 83.1, 3.309, 3, 0, 12
block com, 0, True, 83.1, 3.205, 2, 0, 12
block com, 0, True, 83.1, 3.062, 1, 0, 11
block com, 0, True, 77.015, 2.641, 3, 0, 8
block com, 0, True, 77.015, 2.697, 1, 0, 8
block com, 0, True, 77.015, 2.539, 2, 0, 9
block com, 0, True, 121.977, 4.071, 4, 0, 15
block com, 0, True, 121.977, 4.486, 1, 0, 15
block com, 0, True, 121.977, 4.312, 1, 0, 17
block com, 0, True, 89.56, 3.241, 2, 0, 9
block com, 0, True, 89.56, 3.533, 2, 0, 11
block com, 0, True, 89.56, 3.205, 2, 0, 11
block com, 0, True, 85.281, 3.242, 2, 0, 11
block com, 0, True, 85.281, 3.203, 2, 0, 11
block com, 0, True, 85.281, 3.062, 2, 0, 10
block com, 0, True, 95.227, 3.767, 2, 0, 13
block com, 0, True, 95.227, 3.121, 2, 0, 11
block com, 0, True, 95.227, 3.406, 2, 0, 12
block com, 0, True, 68.062, 2.362, 2, 0, 9
block com, 0, True, 68.062, 2.491, 3, 0, 8
block com, 0, True, 68.062, 2.679, 1, 0, 9
block com, 0, True, 98.156, 3.941, 1, 0, 14
block com, 0, True, 98.156, 3.472, 2, 0, 13
block com, 0, True, 98.156, 3.64, 3, 0, 15
block com, 0, True, 92.071, 3.932, 1, 0, 11
block com, 0, True, 92.071, 3.48, 2, 0, 11
block com, 0, True, 92.071, 3.593, 3, 0, 12
block com, 0, True, 77.207, 2.78, 2, 0, 9
block com, 0, True, 77.207, 2.677, 1, 0, 10
block com, 0, True, 77.207, 2.886, 3, 0, 11
block com, 0, True, 93.274, 3.387, 2, 0, 11
block com, 0, True, 93.274, 3.261, 3, 0, 11
block com, 0, True, 93.274, 8.838, 1, 0, 8
block com, 0, True, 71.231, 2.602, 3, 0, 10
block com, 0, True, 71.231, 2.594, 2, 0, 9
block com, 0, True, 71.231, 2.916, 1, 0, 8
block com, 0, True, 82.243, 3.567, 3, 0, 11
block com, 0, True, 82.243, 3.202, 3, 0, 13
block com, 0, True, 82.243, 2.887, 0, 0, 11
block com, 0, True, 81.689, 3.361, 5, 0, 12
block com, 0, True, 81.689, 3.422, 1, 0, 11
block com, 0, True, 81.689, 3.203, 0, 0, 11
block com, 0, True, 61.538, 1.992, 1, 0, 8
block com, 0, True, 61.538, 2.212, 1, 0, 8
block com, 0, True, 61.538, 2.423, 4, 0, 9
block com, 0, True, 79.754, 3.12, 1, 0, 12
block com, 0, True, 79.754, 2.89, 5, 0, 11
block com, 0, True, 79.754, 3.229, 0, 0, 11
block com, 0, True, 76.195, 3.099, 1, 0, 10
block com, 0, True, 76.195, 2.789, 3, 0, 10
block com, 0, True, 76.195, 2.76, 2, 0, 10
block com, 0, True, 82.633, 3.116, 4, 0, 10
block com, 0, True, 82.633, 2.97, 1, 0, 12
block com, 0, True, 82.633, 3.134, 1, 0, 10
block com, 0, True, 92.534, 3.382, 2, 0, 15
block com, 0, True, 92.534, 3.382, 3, 0, 12
block com, 0, True, 92.534, 3.521, 1, 0, 12
block com, 0.05, True, 104.779, 4.005, 6, 0, 13
block com, 0.05, True, 104.779, 4.312, 0, 0, 15
block com, 0.05, True, 104.779, 4.156, 0, 0, 14
block com, 0.05, True, 103.13, 3.713, 0, 0, 14
